Time,Protractor,Sampled
0.0367107,0,-1.1
0.0734214,0,-1.04
0.1101321,0,-1.04
0.1468428,0,-1.01
0.1835535,0,-0.47
0.2202642,0,-0.33
0.2569749,0,-0.24
0.2936856,0,0.01
0.3303963,0,0.21
0.367107,0,0.19
0.4038177,0,0.19
0.4405284,0,0.27
0.4772391,0,0.34
0.5139498,0,0.18
0.5506605,0,0.1
0.5873712,0,-0.07
0.6240819,0,-0.77
0.6607926,0,-0.83
0.6975033,13,8.19
0.734214,13,8.93
0.7709247,13,9.09
0.8076354,13,8.89
0.8443461,13,8.34
0.8810568,13,8.21
0.9177675,13,8.57
0.9544782,13,8.72
0.9911889,13,8.95
1.0278996,13,9.18
1.0646103,13,9.66
1.101321,13,12.7
1.1380317,13,12.7
1.1747424,13,12.6
1.2114531,13,12.3
1.2481638,13,12.4
1.2848745,13,12.2
1.3215852,13,12.2
1.3582959,13,12.1
1.3950066,13,12.1
1.4317173,13,12
1.468428,13,11.9
1.5051387,13,11.9
1.5418494,13,12
1.5785601,13,12.1
1.6152708,25,21.9
1.6519815,25,22.3
1.6886922,25,22.6
1.7254029,25,22.5
1.7621136,25,21.4
1.7988243,25,21.6
1.835535,25,21.4
1.8722457,25,21.3
1.9089564,25,21.1
1.9456671,25,21
1.9823778,25,21.1
2.0190885,25,20.9
2.0557992,25,20.7
2.0925099,25,20.6
2.1292206,25,20.5
2.1659313,25,22.8
2.202642,25,22.8
2.2393527,25,22.8
2.2760634,25,22.7
2.3127741,25,22.7
2.3494848,25,22.7
2.3861955,25,22.8
2.4229062,25,22.7
2.4596169,25,23
2.4963276,37,32.8
2.5330383,37,33.1
2.569749,37,33.5
2.6064597,37,33.5
2.6431704,37,33.6
2.6798811,37,33.5
2.7165918,37,33.6
2.7533025,37,35.3
2.7900132,37,35.2
2.8267239,37,34.7
2.8634346,37,34.6
2.9001453,37,34.7
2.936856,37,34.3
2.9735667,37,34.2
3.0102774,37,34.2
3.0469881,37,34.3
3.0836988,37,34.3
3.1204095,37,34.2
3.1571202,37,34.1
3.1938309,37,33.9
3.2305416,37,34
3.2672523,37,34.1
3.303963,37,34.2
3.3406737,37,34.3
3.3773844,45,42.6
3.4140951,45,42.6
3.4508058,45,42.5
3.4875165,45,42.4
3.5242272,45,42.4
3.5609379,45,42.6
3.5976486,45,42.5
3.6343593,45,43.5
3.67107,45,43.4
3.7077807,45,42.8
3.7444914,45,43
3.7812021,45,43.1
3.8179128,45,43.4
3.8546235,45,43.5
3.8913342,45,43.5
3.9280449,45,43.5
3.9647556,45,43.4
4.0014663,45,43.6
4.038177,45,41.8
4.0748877,45,41.8
4.1115984,45,42.1
4.1483091,45,42.1
4.1850198,45,42.2
4.2217305,45,42.3
4.2584412,45,42.7
4.2951519,55,51.1
4.3318626,55,51.2
4.3685733,55,51.1
4.405284,55,51.2
4.4419947,55,51
4.4787054,55,51
4.5154161,55,51
4.5521268,55,51
4.5888375,55,51.1
4.6255482,55,51.8
4.6622589,55,51.7
4.6989696,55,51.8
4.7356803,55,52.1
4.772391,65,58.5
4.8091017,65,69.8
4.8458124,65,69.6
4.8825231,65,69.4
4.9192338,65,69.6
4.9559445,65,69.4
4.9926552,65,69.3
5.0293659,65,69.5
5.0660766,65,69.5
5.1027873,65,69.6
5.139498,65,70
5.1762087,65,70.2
5.2129194,65,61.2
5.2496301,65,61.2
5.2863408,65,60.7
5.3230515,65,60.7
5.3597622,65,60.7
5.3964729,65,60.6
5.4331836,65,60.5
5.4698943,65,60.6
5.506605,65,60.8
5.5433157,65,60.9
5.5800264,75,70.8
5.6167371,75,70.9
5.6534478,75,71
5.6901585,75,71
5.7268692,75,71
5.7635799,75,71
5.8002906,75,71
5.8370013,75,71
5.873712,75,70.8
5.9104227,75,70.8
5.9471334,75,70.9
5.9838441,75,71
6.0205548,75,70.6
6.0572655,75,70.5
6.0939762,75,70.2
6.1306869,75,70.2
6.1673976,75,70.1
6.2041083,75,70.1
6.240819,75,70
6.2775297,75,70
6.3142404,75,70
6.3509511,75,69.9
6.3876618,75,69.9
6.4243725,75,67.8
6.4610832,75,68.2
6.4977939,80,73.2
6.5345046,80,73.8
6.5712153,80,79
6.607926,80,78.9
6.6446367,80,78.6
6.6813474,80,78.75
6.7180581,80,78.8
6.7547688,80,79
6.7914795,80,79.1
6.8281902,80,79.1
6.8649009,80,79.3
6.9016116,80,79.4
6.9383223,80,77.3
6.975033,80,77.5
7.0117437,80,77.5
7.0484544,80,77
7.0851651,80,76.8
7.1218758,80,76.7
7.1585865,80,76.8
7.1952972,80,76.6
7.2320079,80,76.5
7.2687186,80,76.5
7.3054293,80,76.5
7.34214,80,76.4
7.3788507,80,76.2
7.4155614,80,75.8
7.4522721,80,76.9
7.4889828,80,76.8
7.5256935,90,85.2
7.5624042,90,85.4
7.5991149,90,85.3
7.6358256,90,85.3
7.6725363,90,85.2
7.709247,90,87.1
7.7459577,90,86.9
7.7826684,90,87
7.8193791,90,87
7.8560898,90,86.9
7.8928005,90,87.1
7.9295112,90,87.2
7.9662219,90,87.4
8.0029326,90,87.5
8.0396433,90,87.8
8.076354,90,87.9
8.1130647,90,87.9
8.1497754,90,85.6
8.1864861,90,85.6
8.2231968,90,85.5
8.2599075,90,85.5
8.2966182,90,85.6
8.3333289,90,85.6
8.3700396,90,85.5
8.4067503,90,85.6
8.443461,90,85.6
8.4801717,90,85.7
8.5168824,90,85.4
8.5535931,90,85.2
