X,Y,Z
-2.135889, 3.678494, 3.380230
-2.248333, 3.543522, 8.210700
-1.999125, 3.940541, 8.957793
-2.439009, 4.077634, 16.534928
-2.739936, 4.635099, 22.509232
-3.190197, 4.027050, 18.898282
-2.313665, 4.399825, 36.857814
-2.519014, 4.058138, 40.708029
-2.561985, 4.053509, 41.313517
-2.894771, 4.844525, 46.248970
-3.555296, 4.817330, 49.063997
-2.608455, 4.893282, 51.717887
-4.256651, 4.655012, 51.041597
-3.404457, 5.141975, 51.788690
-4.033663, 3.994383, 51.944945
-3.103940, 4.664240, 43.468123
-2.875613, 4.813496, 30.856655
-3.066321, 3.819444, 25.315714
-3.302875, 4.025819, 26.403394
-4.105956, 4.755221, 25.305948
-3.409793, 4.446198, 24.011963
-4.101748, 3.654185, 26.276437
-4.055490, 4.377303, 34.098941
-2.881988, 4.910383, 30.629597
-3.798648, 5.062845, 33.654592
-3.961299, 5.100648, 32.092044
-3.693204, 4.270443, 33.195593
-3.361886, 4.503825, 34.433424
-3.250092, 4.208264, 34.656819
-3.135069, 4.998225, 23.998535
-4.140829, 4.864290, 22.356639
-3.949936, 5.236751, 20.095828
-3.243336, 5.260507, 26.723228
-4.104142, 4.257342, 25.662404
-4.173724, 5.765378, 28.140507
-4.217672, 4.856614, 40.395520
-3.762290, 4.870522, 47.069308
-3.885255, 4.592444, 47.672353
-3.361992, 4.521043, 51.254006
-4.189276, 5.171860, 53.577074
-4.582498, 4.497972, 55.038301
-3.630006, 4.878450, 48.813746
-4.157503, 4.601846, 46.046327
-4.297600, 4.394424, 47.296365
-4.446906, 4.232655, 56.750999
-3.909492, 5.247859, 59.332865
-4.361145, 4.088608, 64.214606
-4.504228, 4.220296, 67.961058
-4.035666, 4.631325, 65.459761
-4.663070, 5.086711, 59.701529
-5.410453, 4.623548, 60.153203
-4.298577, 4.897837, 55.482650
-4.838371, 4.357223, 49.486373
-5.595248, 4.149532, 63.103732
-4.718536, 4.591193, 63.545640
-4.570612, 4.689936, 73.377483
